SweepSlotPct,DerivedSeed,EstGroupSimilarity,FixedClusteringSim,TimeSec,Code,QueryNodes,ResultSize,K,ComponentId
100,123,0.476776,0.6,10.402,0,372 414 449 603 634 830,9,1,33
100,123,0.476776,0.6,10.402,1,75 372 449 603 634 876,7,1,33
100,123,0.476776,0.6,10.402,2,372 414 449 603 634 876,9,1,33
100,123,0.476776,0.6,10.402,3,372 414 449 603 830 876,9,1,33
100,123,0.476776,0.6,10.402,4,372 414 449 603 830 876,9,1,33
100,123,0.476776,0.6,10.402,5,372 452 603 634 830 876,20,1,33
100,123,0.476776,0.6,10.402,6,134 372 449 603 830 876,7,1,33
100,123,0.476776,0.6,10.402,7,372 414 603 634 830 876,9,1,33
100,123,0.476776,0.6,10.402,8,372 449 452 603 634 830,20,1,33
100,123,0.476776,0.6,10.402,9,372 449 452 634 830 876,20,1,33
100,123,0.476776,0.6,10.402,10,372 414 449 603 634 876,9,1,33
100,123,0.476776,0.6,10.402,11,449 603 634 659 830 876,36,1,33
100,123,0.476776,0.6,10.402,12,372 414 449 603 634 830,9,1,33
100,123,0.476776,0.6,10.402,13,372 603 634 635 830 876,9,1,33
100,123,0.476776,0.6,10.402,14,372 414 603 634 830 876,9,1,33
100,123,0.476776,0.6,10.402,15,372 452 603 634 830 876,20,1,33
100,123,0.476776,0.6,10.402,16,372 449 603 634 635 830,9,1,33
100,123,0.476776,0.6,10.402,17,372 414 449 603 830 876,9,1,33
100,123,0.476776,0.6,10.402,18,439 449 603 634 830 876,19,1,33
100,123,0.476776,0.6,10.402,19,372 452 603 634 830 876,20,1,33
100,123,0.476776,0.6,10.402,20,372 449 452 603 830 876,20,1,33
100,123,0.476776,0.6,10.402,21,372 449 452 603 830 876,20,1,33
100,123,0.476776,0.6,10.402,22,372 449 452 603 830 876,20,1,33
100,123,0.476776,0.6,10.402,23,372 603 634 635 830 876,9,1,33
100,123,0.476776,0.6,10.402,24,372 452 603 634 830 876,20,1,33
100,123,0.476776,0.6,10.402,25,372 449 452 634 830 876,20,1,33
100,123,0.476776,0.6,10.402,26,372 414 449 634 830 876,9,1,33
100,123,0.476776,0.6,10.402,27,372 414 449 603 634 830,9,1,33
100,123,0.476776,0.6,10.402,28,449 603 634 636 830 876,36,1,33
100,123,0.476776,0.6,10.402,29,372 449 452 603 634 830,20,1,33
100,123,0.476776,0.6,10.402,30,449 603 634 830 876 994,36,1,33
100,123,0.476776,0.6,10.402,31,372 433 603 634 830 876,8,1,33
100,123,0.476776,0.6,10.402,32,75 372 449 603 830 876,7,1,33
100,123,0.476776,0.6,10.402,33,372 449 452 603 634 830,20,1,33
100,123,0.476776,0.6,10.402,34,372 414 449 603 830 876,9,1,33
100,123,0.476776,0.6,10.402,35,134 372 449 634 830 876,7,1,33
100,123,0.476776,0.6,10.402,36,372 414 449 603 830 876,9,1,33
100,123,0.476776,0.6,10.402,37,372 449 452 603 830 876,20,1,33
100,123,0.476776,0.6,10.402,38,372 449 603 634 635 876,9,1,33
100,123,0.476776,0.6,10.402,39,372 414 449 603 830 876,9,1,33
100,123,0.476776,0.6,10.402,40,372 414 449 603 634 830,9,1,33
100,123,0.476776,0.6,10.402,41,372 449 603 634 635 876,9,1,33
100,123,0.476776,0.6,10.402,42,372 594 603 634 830 876,9,1,33
100,123,0.476776,0.6,10.402,43,372 449 452 603 830 876,20,1,33
