SweepSlotPct,DerivedSeed,EstGroupSimilarity,FixedClusteringSim,TimeSec,Code,QueryNodes,ResultSize,K,ComponentId
20,123,0.532108,0.6,5.008,0,372 414 449 603 634 830,17,1,33
20,123,0.532108,0.6,5.008,1,75 372 449 603 634 876,6,1,33
20,123,0.532108,0.6,5.008,2,372 414 449 603 634 876,17,1,33
20,123,0.532108,0.6,5.008,3,372 414 449 603 830 876,15,1,33
20,123,0.532108,0.6,5.008,4,372 414 449 603 830 876,15,1,33
20,123,0.532108,0.6,5.008,5,372 452 603 634 830 876,19,1,33
20,123,0.532108,0.6,5.008,6,134 372 449 603 830 876,6,1,33
20,123,0.532108,0.6,5.008,7,372 414 603 634 830 876,18,1,33
20,123,0.532108,0.6,5.008,8,372 449 452 603 634 830,16,1,33
20,123,0.532108,0.6,5.008,9,372 449 452 634 830 876,19,1,33
20,123,0.532108,0.6,5.008,10,372 414 449 603 634 876,17,1,33
20,123,0.532108,0.6,5.008,11,449 603 634 659 830 876,20,1,33
20,123,0.532108,0.6,5.008,12,372 414 449 603 634 830,17,1,33
20,123,0.532108,0.6,5.008,13,372 603 634 635 830 876,19,1,33
20,123,0.532108,0.6,5.008,14,372 414 603 634 830 876,18,1,33
20,123,0.532108,0.6,5.008,15,372 452 603 634 830 876,17,1,33
20,123,0.532108,0.6,5.008,16,372 449 603 634 635 830,18,1,33
20,123,0.532108,0.6,5.008,17,372 414 449 603 830 876,17,1,33
20,123,0.532108,0.6,5.008,18,439 449 603 634 830 876,19,1,33
20,123,0.532108,0.6,5.008,19,372 452 603 634 830 876,19,1,33
