SweepSlotPct,DerivedSeed,EstGroupSimilarity,FixedClusteringSim,TimeSec,Code,QueryNodes,ResultSize,K,ComponentId
20,123,0.532108,0.6,4.792,0,372 414 449 603 634 830,20,1,33
20,123,0.532108,0.6,4.792,1,75 372 449 603 634 876,6,1,33
20,123,0.532108,0.6,4.792,2,372 414 449 603 634 876,20,1,33
20,123,0.532108,0.6,4.792,3,372 414 449 603 830 876,20,1,33
20,123,0.532108,0.6,4.792,4,372 414 449 603 830 876,20,1,33
20,123,0.532108,0.6,4.792,5,372 452 603 634 830 876,20,1,33
20,123,0.532108,0.6,4.792,6,134 372 449 603 830 876,6,1,33
20,123,0.532108,0.6,4.792,7,372 414 603 634 830 876,20,1,33
20,123,0.532108,0.6,4.792,8,372 449 452 603 634 830,20,1,33
20,123,0.532108,0.6,4.792,9,372 449 452 634 830 876,20,1,33
20,123,0.532108,0.6,4.792,10,372 414 449 603 634 876,20,1,33
20,123,0.532108,0.6,4.792,11,449 603 634 659 830 876,20,1,33
20,123,0.532108,0.6,4.792,12,372 414 449 603 634 830,20,1,33
20,123,0.532108,0.6,4.792,13,372 603 634 635 830 876,20,1,33
20,123,0.532108,0.6,4.792,14,372 414 603 634 830 876,20,1,33
20,123,0.532108,0.6,4.792,15,372 452 603 634 830 876,20,1,33
20,123,0.532108,0.6,4.792,16,372 449 603 634 635 830,20,1,33
20,123,0.532108,0.6,4.792,17,372 414 449 603 830 876,20,1,33
20,123,0.532108,0.6,4.792,18,439 449 603 634 830 876,19,1,33
20,123,0.532108,0.6,4.792,19,372 452 603 634 830 876,20,1,33
