SimilarityPct,Similarity,TimeSec,Code,QueryNodes,ResultSize,K,ComponentId
40,0.4,8.266,12,372 414 433 449 634 635,7,1,33
40,0.4,8.266,13,70 372 452 594 603 830,6,1,33
40,0.4,8.266,14,449 603 750 824 876 891,18,1,33
40,0.4,8.266,15,248 372 594 634 635 876,7,1,33
40,0.4,8.266,16,449 603 634 713 915 958,17,1,33
40,0.4,8.266,17,70 372 594 634 635 876,6,1,33
40,0.4,8.266,18,449 634 637 838 876 1004,21,1,33
40,0.4,8.266,19,372 414 594 603 634 635,7,1,33
50,0.5,8.43,0,372 414 431 449 634 635,7,1,33
50,0.5,8.43,1,634 780 830 876 902 1002,17,1,33
50,0.5,8.43,2,70 372 433 594 634 830,6,1,33
50,0.5,8.43,3,449 561 622 712 830 876,19,1,33
50,0.5,8.43,4,75 134 248 372 603 830,6,1,33
50,0.5,8.43,5,372 414 433 594 603 876,7,1,33
50,0.5,8.43,6,449 561 620 634 876 916,17,1,33
50,0.5,8.43,7,372 414 433 449 594 603,7,1,33
50,0.5,8.43,8,436 603 830 876 897 910,20,1,33
50,0.5,8.43,9,248 372 433 449 594 603,7,1,33
50,0.5,8.43,10,603 634 763 876 902 945,16,1,33
50,0.5,8.43,11,372 414 431 452 603 830,7,1,33
50,0.5,8.43,12,372 414 433 449 634 635,7,1,33
50,0.5,8.43,13,70 372 452 594 603 830,6,1,33
50,0.5,8.43,14,449 603 750 824 876 891,18,1,33
50,0.5,8.43,15,248 372 594 634 635 876,7,1,33
50,0.5,8.43,16,449 603 634 713 915 958,17,1,33
50,0.5,8.43,17,70 372 594 634 635 876,6,1,33
50,0.5,8.43,18,449 634 637 838 876 1004,21,1,33
50,0.5,8.43,19,372 414 594 603 634 635,7,1,33
60,0.6,8.485,0,372 414 431 449 634 635,7,1,33
60,0.6,8.485,1,634 780 830 876 902 1002,17,1,33
60,0.6,8.485,2,70 372 433 594 634 830,6,1,33
60,0.6,8.485,3,449 561 622 712 830 876,19,1,33
60,0.6,8.485,4,75 134 248 372 603 830,6,1,33
60,0.6,8.485,5,372 414 433 594 603 876,7,1,33
60,0.6,8.485,6,449 561 620 634 876 916,17,1,33
60,0.6,8.485,7,372 414 433 449 594 603,7,1,33
60,0.6,8.485,8,436 603 830 876 897 910,20,1,33
60,0.6,8.485,9,248 372 433 449 594 603,6,1,33
60,0.6,8.485,10,603 634 763 876 902 945,16,1,33
60,0.6,8.485,11,372 414 431 452 603 830,7,1,33
60,0.6,8.485,12,372 414 433 449 634 635,7,1,33
60,0.6,8.485,13,70 372 452 594 603 830,6,1,33
60,0.6,8.485,14,449 603 750 824 876 891,18,1,33
60,0.6,8.485,15,248 372 594 634 635 876,6,1,33
60,0.6,8.485,16,449 603 634 713 915 958,17,1,33
60,0.6,8.485,17,70 372 594 634 635 876,6,1,33
60,0.6,8.485,18,449 634 637 838 876 1004,21,1,33
60,0.6,8.485,19,372 414 594 603 634 635,7,1,33
70,0.7,8.534,0,372 414 431 449 634 635,6,1,33
70,0.7,8.534,1,634 780 830 876 902 1002,17,1,33
70,0.7,8.534,2,70 372 433 594 634 830,6,1,33
70,0.7,8.534,3,449 561 622 712 830 876,19,1,33
70,0.7,8.534,4,75 134 248 372 603 830,6,1,33
70,0.7,8.534,5,372 414 433 594 603 876,7,1,33
70,0.7,8.534,6,449 561 620 634 876 916,17,1,33
70,0.7,8.534,7,372 414 433 449 594 603,7,1,33
70,0.7,8.534,8,436 603 830 876 897 910,20,1,33
70,0.7,8.534,9,248 372 433 449 594 603,6,1,33
70,0.7,8.534,10,603 634 763 876 902 945,16,1,33
70,0.7,8.534,11,372 414 431 452 603 830,7,1,33
70,0.7,8.534,12,372 414 433 449 634 635,7,1,33
70,0.7,8.534,13,70 372 452 594 603 830,6,1,33
70,0.7,8.534,14,449 603 750 824 876 891,18,1,33
70,0.7,8.534,15,248 372 594 634 635 876,6,1,33
70,0.7,8.534,16,449 603 634 713 915 958,17,1,33
70,0.7,8.534,17,70 372 594 634 635 876,6,1,33
70,0.7,8.534,18,449 634 637 838 876 1004,21,1,33
70,0.7,8.534,19,372 414 594 603 634 635,7,1,33
80,0.8,9.299,0,372 414 431 449 634 635,6,1,33
80,0.8,9.299,1,634 780 830 876 902 1002,17,1,33
80,0.8,9.299,2,70 372 433 594 634 830,6,1,33
80,0.8,9.299,3,449 561 622 712 830 876,19,1,33
80,0.8,9.299,4,75 134 248 372 603 830,6,1,33
80,0.8,9.299,5,372 414 433 594 603 876,6,1,33
80,0.8,9.299,6,449 561 620 634 876 916,17,1,33
80,0.8,9.299,7,372 414 433 449 594 603,6,1,33
80,0.8,9.299,8,436 603 830 876 897 910,20,1,33
80,0.8,9.299,9,248 372 433 449 594 603,6,1,33
80,0.8,9.299,10,603 634 763 876 902 945,16,1,33
80,0.8,9.299,11,372 414 431 452 603 830,6,1,33
80,0.8,9.299,12,372 414 433 449 634 635,6,1,33
80,0.8,9.299,13,70 372 452 594 603 830,6,1,33
80,0.8,9.299,14,449 603 750 824 876 891,18,1,33
80,0.8,9.299,15,248 372 594 634 635 876,6,1,33
80,0.8,9.299,16,449 603 634 713 915 958,17,1,33
80,0.8,9.299,17,70 372 594 634 635 876,6,1,33
80,0.8,9.299,18,449 634 637 838 876 1004,21,1,33
80,0.8,9.299,19,372 414 594 603 634 635,6,1,33
90,0.9,8.908,0,372 414 431 449 634 635,6,1,33
90,0.9,8.908,1,634 780 830 876 902 1002,17,1,33
90,0.9,8.908,2,70 372 433 594 634 830,6,1,33
90,0.9,8.908,3,449 561 622 712 830 876,19,1,33
90,0.9,8.908,4,75 134 248 372 603 830,6,1,33
90,0.9,8.908,5,372 414 433 594 603 876,6,1,33
90,0.9,8.908,6,449 561 620 634 876 916,17,1,33
90,0.9,8.908,7,372 414 433 449 594 603,6,1,33
90,0.9,8.908,8,436 603 830 876 897 910,20,1,33
90,0.9,8.908,9,248 372 433 449 594 603,6,1,33
90,0.9,8.908,10,603 634 763 876 902 945,16,1,33
90,0.9,8.908,11,372 414 431 452 603 830,6,1,33
90,0.9,8.908,12,372 414 433 449 634 635,6,1,33
90,0.9,8.908,13,70 372 452 594 603 830,6,1,33
90,0.9,8.908,14,449 603 750 824 876 891,18,1,33
90,0.9,8.908,15,248 372 594 634 635 876,6,1,33
90,0.9,8.908,16,449 603 634 713 915 958,17,1,33
90,0.9,8.908,17,70 372 594 634 635 876,6,1,33
90,0.9,8.908,18,449 634 637 838 876 1004,21,1,33
90,0.9,8.908,19,372 414 594 603 634 635,6,1,33
