SweepSlotPct,DerivedSeed,EstGroupSimilarity,FixedClusteringSim,TimeSec,Code,QueryNodes,ResultSize,K,ComponentId
50,123,0.503155,0.6,4.535,0,372 414 449 603 634 830,7,1,33
50,123,0.503155,0.6,4.535,1,75 372 449 603 634 876,6,1,33
50,123,0.503155,0.6,4.535,2,372 414 449 603 634 876,7,1,33
50,123,0.503155,0.6,4.535,3,372 414 449 603 830 876,7,1,33
50,123,0.503155,0.6,4.535,4,372 414 449 603 830 876,7,1,33
50,123,0.503155,0.6,4.535,5,372 452 603 634 830 876,19,1,33
50,123,0.503155,0.6,4.535,6,134 372 449 603 830 876,6,1,33
50,123,0.503155,0.6,4.535,7,372 414 603 634 830 876,7,1,33
50,123,0.503155,0.6,4.535,8,372 449 452 603 634 830,16,1,33
50,123,0.503155,0.6,4.535,9,372 449 452 634 830 876,19,1,33
50,123,0.503155,0.6,4.535,10,372 414 449 603 634 876,7,1,33
50,123,0.503155,0.6,4.535,11,449 603 634 659 830 876,20,1,33
50,123,0.503155,0.6,4.535,12,372 414 449 603 634 830,7,1,33
50,123,0.503155,0.6,4.535,13,372 603 634 635 830 876,19,1,33
50,123,0.503155,0.6,4.535,14,372 414 603 634 830 876,7,1,33
50,123,0.503155,0.6,4.535,15,372 452 603 634 830 876,17,1,33
50,123,0.503155,0.6,4.535,16,372 449 603 634 635 830,18,1,33
50,123,0.503155,0.6,4.535,17,372 414 449 603 830 876,7,1,33
50,123,0.503155,0.6,4.535,18,439 449 603 634 830 876,19,1,33
50,123,0.503155,0.6,4.535,19,372 452 603 634 830 876,19,1,33
50,123,0.503155,0.6,4.535,20,372 449 452 603 830 876,18,1,33
50,123,0.503155,0.6,4.535,21,372 449 452 603 830 876,18,1,33
50,123,0.503155,0.6,4.535,22,372 449 452 603 830 876,18,1,33
50,123,0.503155,0.6,4.535,23,372 603 634 635 830 876,19,1,33
50,123,0.503155,0.6,4.535,24,372 452 603 634 830 876,19,1,33
50,123,0.503155,0.6,4.535,25,372 449 452 634 830 876,18,1,33
50,123,0.503155,0.6,4.535,26,372 414 449 634 830 876,7,1,33
50,123,0.503155,0.6,4.535,27,372 414 449 603 634 830,7,1,33
50,123,0.503155,0.6,4.535,28,449 603 634 636 830 876,18,1,33
50,123,0.503155,0.6,4.535,29,372 449 452 603 634 830,16,1,33
50,123,0.503155,0.6,4.535,30,449 603 634 830 876 994,18,1,33
50,123,0.503155,0.6,4.535,31,372 433 603 634 830 876,6,1,33
50,123,0.503155,0.6,4.535,32,75 372 449 603 830 876,6,1,33
50,123,0.503155,0.6,4.535,33,372 449 452 603 634 830,16,1,33
50,123,0.503155,0.6,4.535,34,372 414 449 603 830 876,7,1,33
50,123,0.503155,0.6,4.535,35,134 372 449 634 830 876,6,1,33
50,123,0.503155,0.6,4.535,36,372 414 449 603 830 876,7,1,33
50,123,0.503155,0.6,4.535,37,372 449 452 603 830 876,16,1,33
50,123,0.503155,0.6,4.535,38,372 449 603 634 635 876,17,1,33
50,123,0.503155,0.6,4.535,39,372 414 449 603 830 876,7,1,33
50,123,0.503155,0.6,4.535,40,372 414 449 603 634 830,7,1,33
50,123,0.503155,0.6,4.535,41,372 449 603 634 635 876,17,1,33
50,123,0.503155,0.6,4.535,42,372 594 603 634 830 876,6,1,33
50,123,0.503155,0.6,4.535,43,372 449 452 603 830 876,18,1,33
50,123,0.503155,0.6,4.535,44,372 414 449 603 634 876,7,1,33
50,123,0.503155,0.6,4.535,45,248 372 449 634 830 876,6,1,33
50,123,0.503155,0.6,4.535,46,75 372 449 634 830 876,6,1,33
50,123,0.503155,0.6,4.535,47,449 603 634 830 876 944,20,1,33
50,123,0.503155,0.6,4.535,48,372 414 449 603 830 876,7,1,33
50,123,0.503155,0.6,4.535,49,372 414 449 603 830 876,7,1,33
