SimilarityPct,Similarity,TimeSec,Code,QueryNodes,ResultSize,K,ComponentId
40,0.4,8.323,12,372 414 433 449 634 635,14,1,33
40,0.4,8.323,13,70 372 452 594 603 830,14,1,33
40,0.4,8.323,14,449 603 750 824 876 891,18,1,33
40,0.4,8.323,15,248 372 594 634 635 876,10,1,33
40,0.4,8.323,16,449 603 634 713 915 958,17,1,33
40,0.4,8.323,17,70 372 594 634 635 876,14,1,33
40,0.4,8.323,18,449 634 637 838 876 1004,21,1,33
40,0.4,8.323,19,372 414 594 603 634 635,14,1,33
50,0.5,8.443,0,372 414 431 449 634 635,13,1,33
50,0.5,8.443,1,634 780 830 876 902 1002,17,1,33
50,0.5,8.443,2,70 372 433 594 634 830,13,1,33
50,0.5,8.443,3,449 561 622 712 830 876,19,1,33
50,0.5,8.443,4,75 134 248 372 603 830,10,1,33
50,0.5,8.443,5,372 414 433 594 603 876,13,1,33
50,0.5,8.443,6,449 561 620 634 876 916,17,1,33
50,0.5,8.443,7,372 414 433 449 594 603,13,1,33
50,0.5,8.443,8,436 603 830 876 897 910,20,1,33
50,0.5,8.443,9,248 372 433 449 594 603,13,1,33
50,0.5,8.443,10,603 634 763 876 902 945,16,1,33
50,0.5,8.443,11,372 414 431 452 603 830,8,1,33
50,0.5,8.443,12,372 414 433 449 634 635,13,1,33
50,0.5,8.443,13,70 372 452 594 603 830,8,1,33
50,0.5,8.443,14,449 603 750 824 876 891,18,1,33
50,0.5,8.443,15,248 372 594 634 635 876,10,1,33
50,0.5,8.443,16,449 603 634 713 915 958,17,1,33
50,0.5,8.443,17,70 372 594 634 635 876,13,1,33
50,0.5,8.443,18,449 634 637 838 876 1004,21,1,33
50,0.5,8.443,19,372 414 594 603 634 635,13,1,33
60,0.6,8.529,0,372 414 431 449 634 635,11,1,33
60,0.6,8.529,1,634 780 830 876 902 1002,17,1,33
60,0.6,8.529,2,70 372 433 594 634 830,10,1,33
60,0.6,8.529,3,449 561 622 712 830 876,19,1,33
60,0.6,8.529,4,75 134 248 372 603 830,6,1,33
60,0.6,8.529,5,372 414 433 594 603 876,10,1,33
60,0.6,8.529,6,449 561 620 634 876 916,17,1,33
60,0.6,8.529,7,372 414 433 449 594 603,10,1,33
60,0.6,8.529,8,436 603 830 876 897 910,20,1,33
60,0.6,8.529,9,248 372 433 449 594 603,9,1,33
60,0.6,8.529,10,603 634 763 876 902 945,16,1,33
60,0.6,8.529,11,372 414 431 452 603 830,8,1,33
60,0.6,8.529,12,372 414 433 449 634 635,11,1,33
60,0.6,8.529,13,70 372 452 594 603 830,8,1,33
60,0.6,8.529,14,449 603 750 824 876 891,18,1,33
60,0.6,8.529,15,248 372 594 634 635 876,9,1,33
60,0.6,8.529,16,449 603 634 713 915 958,17,1,33
60,0.6,8.529,17,70 372 594 634 635 876,11,1,33
60,0.6,8.529,18,449 634 637 838 876 1004,21,1,33
60,0.6,8.529,19,372 414 594 603 634 635,11,1,33
70,0.7,9.012,0,372 414 431 449 634 635,9,1,33
70,0.7,9.012,1,634 780 830 876 902 1002,17,1,33
70,0.7,9.012,2,70 372 433 594 634 830,10,1,33
70,0.7,9.012,3,449 561 622 712 830 876,19,1,33
70,0.7,9.012,4,75 134 248 372 603 830,6,1,33
70,0.7,9.012,5,372 414 433 594 603 876,10,1,33
70,0.7,9.012,6,449 561 620 634 876 916,17,1,33
70,0.7,9.012,7,372 414 433 449 594 603,10,1,33
70,0.7,9.012,8,436 603 830 876 897 910,20,1,33
70,0.7,9.012,9,248 372 433 449 594 603,6,1,33
70,0.7,9.012,10,603 634 763 876 902 945,16,1,33
70,0.7,9.012,11,372 414 431 452 603 830,8,1,33
70,0.7,9.012,12,372 414 433 449 634 635,9,1,33
70,0.7,9.012,13,70 372 452 594 603 830,8,1,33
