Method,TimeSec,TotalResultSize,AvgResultSize,DetailCsv
retrieval_loop,0.007,17987,899,data\output\final\final_two_compare_result_retrieval_loop_detail.csv
batchsearch_rough,0.008,17987,899,data\output\final\final_two_compare_result_batchsearch_rough_detail.csv
