SweepSlotPct,DerivedSeed,EstGroupSimilarity,FixedClusteringSim,TimeSec,Code,QueryNodes,ResultSize,K,ComponentId
300,123,0.483166,0.6,228.617,0,372 414 449 603 634 830,17,1,-1
300,123,0.483166,0.6,228.617,1,75 372 449 603 634 876,6,1,-1
300,123,0.483166,0.6,228.617,2,372 414 449 603 634 876,17,1,-1
300,123,0.483166,0.6,228.617,3,372 414 449 603 830 876,15,1,-1
300,123,0.483166,0.6,228.617,4,372 414 449 603 830 876,15,1,-1
300,123,0.483166,0.6,228.617,5,372 452 603 634 830 876,19,1,-1
300,123,0.483166,0.6,228.617,6,134 372 449 603 830 876,6,1,-1
300,123,0.483166,0.6,228.617,7,372 414 603 634 830 876,18,1,-1
300,123,0.483166,0.6,228.617,8,372 449 452 603 634 830,16,1,-1
300,123,0.483166,0.6,228.617,9,372 449 452 634 830 876,19,1,-1
300,123,0.483166,0.6,228.617,10,372 414 449 603 634 876,17,1,-1
300,123,0.483166,0.6,228.617,11,449 603 634 659 830 876,20,1,-1
300,123,0.483166,0.6,228.617,12,372 414 449 603 634 830,17,1,-1
300,123,0.483166,0.6,228.617,13,372 603 634 635 830 876,19,1,-1
300,123,0.483166,0.6,228.617,14,372 414 603 634 830 876,18,1,-1
300,123,0.483166,0.6,228.617,15,372 452 603 634 830 876,17,1,-1
300,123,0.483166,0.6,228.617,16,372 449 603 634 635 830,18,1,-1
300,123,0.483166,0.6,228.617,17,372 414 449 603 830 876,17,1,-1
300,123,0.483166,0.6,228.617,18,439 449 603 634 830 876,19,1,-1
300,123,0.483166,0.6,228.617,19,372 452 603 634 830 876,19,1,-1
300,123,0.483166,0.6,228.617,20,372 449 452 603 830 876,18,1,-1
300,123,0.483166,0.6,228.617,21,372 449 452 603 830 876,18,1,-1
300,123,0.483166,0.6,228.617,22,372 449 452 603 830 876,18,1,-1
300,123,0.483166,0.6,228.617,23,372 603 634 635 830 876,19,1,-1
300,123,0.483166,0.6,228.617,24,372 452 603 634 830 876,19,1,-1
300,123,0.483166,0.6,228.617,25,372 449 452 634 830 876,18,1,-1
300,123,0.483166,0.6,228.617,26,372 414 449 634 830 876,18,1,-1
300,123,0.483166,0.6,228.617,27,372 414 449 603 634 830,17,1,-1
300,123,0.483166,0.6,228.617,28,449 603 634 636 830 876,18,1,-1
300,123,0.483166,0.6,228.617,29,372 449 452 603 634 830,16,1,-1
300,123,0.483166,0.6,228.617,30,449 603 634 830 876 994,18,1,-1
300,123,0.483166,0.6,228.617,31,372 433 603 634 830 876,6,1,-1
300,123,0.483166,0.6,228.617,32,75 372 449 603 830 876,6,1,-1
300,123,0.483166,0.6,228.617,33,372 449 452 603 634 830,16,1,-1
300,123,0.483166,0.6,228.617,34,372 414 449 603 830 876,15,1,-1
300,123,0.483166,0.6,228.617,35,134 372 449 634 830 876,6,1,-1
300,123,0.483166,0.6,228.617,36,372 414 449 603 830 876,15,1,-1
300,123,0.483166,0.6,228.617,37,372 449 452 603 830 876,16,1,-1
300,123,0.483166,0.6,228.617,38,372 449 603 634 635 876,17,1,-1
300,123,0.483166,0.6,228.617,39,372 414 449 603 830 876,17,1,-1
300,123,0.483166,0.6,228.617,40,372 414 449 603 634 830,17,1,-1
300,123,0.483166,0.6,228.617,41,372 449 603 634 635 876,17,1,-1
300,123,0.483166,0.6,228.617,42,372 594 603 634 830 876,6,1,-1
300,123,0.483166,0.6,228.617,43,372 449 452 603 830 876,18,1,-1
300,123,0.483166,0.6,228.617,44,372 414 449 603 634 876,17,1,-1
300,123,0.483166,0.6,228.617,45,248 372 449 634 830 876,6,1,-1
300,123,0.483166,0.6,228.617,46,75 372 449 634 830 876,6,1,-1
300,123,0.483166,0.6,228.617,47,449 603 634 830 876 944,20,1,-1
300,123,0.483166,0.6,228.617,48,372 414 449 603 830 876,15,1,-1
300,123,0.483166,0.6,228.617,49,372 414 449 603 830 876,15,1,-1
